Question No;Question;Choice A;Choice B;Choice C;Choice D;Correct Answer
1;In JavaScript, what will console.log(typeof NaN) output?;number;string;NaN;undefined;A
2;Which JavaScript method returns the first array element that satisfies a provided testing function?;filter();find();map();some();B
3;What does the JavaScript strict-equality operator === evaluate?;Value only;Reference only;Both value and type;Type only;C
4;In JavaScript, what is the evaluated result of typeof null?;"object";"null";"undefined";"string";A
5;Which JavaScript method creates a new array populated with the results of calling a provided function on every element in the array?;forEach();filter();map();reduce();C
6;What will be output by: (async () => { await Promise.reject('fail'); console.log('done') })();done;fail;done then fail;Uncaught promise rejection;D
7;Which Java access modifier restricts visibility of a member exclusively to its defining class?;private;protected;public;package-private;A
8;Which Java Collection implementation guarantees no duplicate elements by contract?;ArrayList;LinkedList;HashSet;Vector;C
9;In Java, which keyword prevents a subclass from overriding a method?;static;final;const;sealed;B
10;Identify the runtime issue in this Java snippet: List<String> list = Arrays.asList("A", "B"); list.add("C");UnsupportedOperationException (fixed-size list);NullPointerException;Compile-time syntax error;No error occurs;A
11;Which Java feature automatically releases resources like streams or connections upon exiting a try block?;finally block;try-with-resources;return statement;throws clause;B
12;What is the output of System.out.println(null + "QA") in Java?;"null";"QA";"nullQA";Throws NullPointerException;C
13;Which HTTP verb is IDEMPOTENT and primarily used to update an existing resource or replace it entirely?;POST;GET;PUT;PATCH;C
14;Which HTTP status code indicates a successful GET request?;200;301;404;500;A
15;Which HTTP status code specifically signifies that the client has sent too many requests in a given time frame (Rate Limiting)?;400;401;403;429;D
16;Which fetch() option in JavaScript must be set to "include" to allow sending cookies in cross-site requests?;mode;credentials;headers;cache;B
17;Which HTTP status code indicates that the requested resource could not be found on the server?;400;401;404;500;C
18;Which HTTP status code indicates an unexpected condition on the server that prevented it from fulfilling the request?;400;404;422;500;D
19;What is the primary standard data format used to exchange structured data in modern RESTful APIs?;XML;JSON;HTML;CSV;B
20;Why is the HTTP GET method considered safe and idempotent in RESTful architecture?;GET modifies server-side data to improve performance;GET requests do not alter server state and return identical results on repetitive calls;GET encrypts request parameters automatically;GET bypasses cross-origin policy restrictions;B
21;What is the primary purpose of Regression Testing in software development?;To measure application performance;To verify that existing functionality remains unaffected after code changes;To discover initial product requirements;To validate project budget;B
22;Which software testing technique focuses on selecting test data at the extreme boundaries of input ranges?;Equivalence Partitioning;Boundary Value Analysis (BVA);Decision Table Testing;State Transition Testing;B
23;In software quality assurance, what is the core difference between Verification and Validation?;Verification checks if the right product is built - Validation checks if product is built right;Verification checks if product is built right - Validation checks if right product is built;Verification is done by users - Validation is done by developers;Verification is automated - Validation is manual;A
24;Defect Density in software metrics is mathematically defined as...;Defects per KLOC (Thousand Lines of Code);Defects per test suite run;Defects per developer per sprint;Defects per active user;A
25;Which Postman feature allows running entire API request collections with dynamic environment variables?;Console;Collection Runner;Inspector;API Network;B
26;In Cypress UI test automation, which command explicitly waits for a declared network request route to complete?;cy.pause();cy.sleep();cy.wait();cy.chain();C
27;Which Cypress assertion chain correctly verifies that a DOM element (such as a submit button) is rendered and visible to the user?;.should('be.enabled');.should('exist');.should('be.visible');.should('contain');C
28;What is the main objective of executing a Smoke Test during a CI/CD pipeline build?;To perform deep load testing on the database;To quickly verify that critical core functionalities work before running exhaustive test suites;To test every possible edge case in the application;To measure UI render latency;B
29;Which Git command creates a new branch named feature and immediately switches working context to it?;git branch feature;git checkout feature;git checkout -b feature;git switch -d feature;C
30;In Git, what does running git rebase origin/main accomplish on your active feature branch?;Deletes local branch history;Merges commits creating an explicit merge commit;Re-applies your local feature commits on top of the latest origin/main commit;Pulls changes with unresolved conflicts;C
31;Which command outputs the chronological history of commits for the current repository branch?;git status;git log;git push;git diff;B
32;What is the primary purpose of running the git status command?;Displays working tree status and staging area state;Lists all remote servers;Shows commit diffs line by line;Pushes local commits to remote;A
33;In a Java Maven project, which file is used to configure dependencies, plugins, and project metadata?;pom.xml;build.gradle;package.json;settings.xml;A
34;Which command runs unit tests located in src/test/java using Apache Maven?;mvn test;mvn verify;mvn install;mvn package;A
35;What primary software development automation role does Jenkins fulfill in software teams?;Mobile device emulator;Manual code reviewer;Continuous Integration and Continuous Delivery (CI/CD) automation;Database query optimizer;C
36;Which ESLint rule category in JavaScript focuses on enforcing code formatting and style guidelines?;Possible Errors;Best Practices;Stylistic Issues;Variables;C
37;Which SQL clause is used to filter aggregated records produced by a GROUP BY clause?;HAVING;WHERE;ORDER BY;LIMIT;A
38;In SQL, which command removes all rows from a table rapidly without deleting the table structure itself?;DROP;DELETE;REMOVE;TRUNCATE;D
39;Which SQL keyword ensures that query results return only non-duplicate values for the specified column(s)?;DISTINCT;UNIQUE;DIFFERENT;SINGLE;A
40;What is the correct SQL clause to group rows that have the same values into summary rows?;ORDER BY;GROUP BY;SORT BY;ALIGN BY;B
